confined for 21 years,1
forfeit $1000 pay per month for 5 months,1
restricted for 60 days the limits of United States Army Garrison-Yongsan,1
forfeit 1/2 of 1 monthâ€™s pay for 2 months,1
confinement for 5 months and a bad-conduct discharge,1
confined for 20 years and a dishonorable discharge,1
confined for six months,1
pay a fine of $5000,1
forfeit $2367,1
reduced the grade of E-2 1,1
forfeit $1400 pay per month for 1 month,1
forfeit $2200,1
confined for 98 days,1
forfeit $448,1
confined for 52 months,1
confined for 161 days,1
reduced the 2 grade of E-1,1
forfeit $1300 pay per month for 2 months,1
confined 7 for 9 months,1
forfeit $2000 pay per month for 5 months,1
confined for 55 months,1
confined for 1 year and 9 months,1
forfeit all 4 pay and allowances,1
confined for nine months,1
serve confinement of 90 days if the fine is not paid,1
serve 45 days of hard labor without confinement,1
confined for 56 years,1
forfeit $1200 pay per month for 2 months,1
forfeit $700 pay per month for 4 months,1
the Accused 12 months of confinement,1
forfeit all pay and 2 allowances,1
reduced E-2,1
confined for 1 day,1
confined 3 for 32 months,1
discharged with bad-conduct discharge,1
discharged from the service with a bad-conduct discharge Fourth Judicial Circuit,1
reduced the grade 2 of E-1,1
confined for 360 days,1
perform hard labor without confinement for 1 month,1
him reduced the grade of E-1,1
him reduced the grade of E-5,1
forfeit $1417,1
confined for 62 months,1
90 days confinement,1
forfeit $783,1
forfeit $2400 pay per month for 5 months,1
confined for 245 days,1
confined for 36 years,1
forfeit $1195,1
forfeit $1300,1
confinement for 21 months and a bad conduct discharge,1
forfeit $600 pay per month for 4 months,1
forfeit $1000 pay per month for 1 month,1
confined for life with the possibility of parole,1
confined for 4 years and 4 months,1
forfeit all pay and allowances for 3 months,1
forfeit $1250,1
confined for life without parole,1
confined for 50 days,1
confined for 145 days,1
forfeit all pay and allowances for 36 months,1
discharged from the service with a bad- conduct discharge,1
confined for 107 days,1
reduced the grade of E-6 1,1
confined for 170 days,1
confined for 64 days,1
forfeit $3374,1
discharge from the service with a bad-conduct discharge,1
discharged from the services with a bad-conduct discharge,1
confined for 6 years and 6 months,1
6 confined for 12 months,1
forfeit $1041,1
forfeit $1556,1
confined for 55 years,1
confined for 181 days,1
forfeit $1543,1
4 confined for 15 months,1
confined for 25 year,1
reduced 8 the grade of E-1,1
confined for 26 years,1
perform hard labor for 60 days without confinement,1
reprimanded and reduced the grade of E-4,1
forfeit $800 per month for six months,1
reprimanded and reduced the grade of E-6,1
restricted the limits of Fort Hood for 2 months,1
confined for 5 years and 4 months,1
him reprimanded,1
confined for 200 days,1
forfeit $850,1
confined for 35 years,1
forfeit $1039,1
forfeit $1033,1
confined for 28 years,1
forfeit $1500 pay per month for 2 months,1
forfeit $521,1
forfeit $250,1
the Accused 7 months of confinement,1
confined for 29 months,1
forfeit $400,1
4 months confinement,1
confined for 390 days,1
confined for 26 months 6,1
confined for 34 months and 15 days,1
confined for 195 days,1
discharged from the service with dishonorable discharge,1
confined for 141 months,1
fined $1700,1
confined for 210 days,1
confined for 120 days and discharged from the service with a bad-conduct discharge,1
reduced grade of E-2,1
confined for life with the eligibility for parole,1
confined for 35 months,1
12 reduced the grade of E-1,1
forfeit $1104,1
forfeit $1000 pay per month for 2 months,1
restricted for 60 days,1
forfeit all pay and 9 allowances,1
restricted for 45 days the limits of Fort Carson Colorado,1
